Kelvin, Pa
268.116, 250.469
238.478, 1131.433
225.502, 2573.242
220.236, 4489.291
218.056, 6857.564
217.106, 10480.119
218.011, 14333.622
220.462, 17154.788
226.602, 21985.451
235.206, 27273.446
242.584, 31625.148
249.960, 37083.133
256.723, 42512.391
262.871, 47648.573
267.788, 53979.805
271.475, 59773.109
275.163, 65452.928
277.621, 69277.807
280.078, 75825.119
281.306, 79327.283
282.534, 83923.458
283.762, 87799.664
284.200, 91000.000
284.989, 93930.134
286.218, 98268.523
289.000, 99000.000
292.000, 100000.000
295.000, 101000.000
